run,step,time,kinetic_energy,velocity_l2
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,23,23.0,16.32771110534668,4.040756112528632
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,24,24.0,13.97563362121582,3.7383998642362855
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,25,25.0,10.47390079498291,3.2363405485956473
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,26,26.0,9.756447792053223,3.12353129549013
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,27,27.0,9.008648872375488,3.0014411008115127
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,28,28.0,8.028362274169922,2.833436397099157
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,29,29.0,7.848351955413818,2.8014910406391182
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,30,30.0,6.856591701507568,2.618509460909966
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,31,31.0,5.467182159423828,2.3382005916593083
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,32,32.0,5.1456122398376465,2.2683941858982952
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,33,33.0,5.2453837394714355,2.290280179537266
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,34,34.0,4.288441181182861,2.0708551028339945
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,35,35.0,3.5988495349884033,1.8970633851573562
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,36,36.0,3.3736627101898193,1.8367532263618815
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,37,37.0,3.673948287963867,1.9167546437292942
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,38,38.0,3.974313735961914,1.993568072494132
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,39,39.0,3.9113807678222656,1.977721066084491
falling-block-water_flip_ppc3_coefpic0.1_t4_r1,40,40.0,3.5889408588409424,1.894449982148719
falling-block-water_apic_ppc3_t4_r1,0,0.0,0.0,0.0
falling-block-water_apic_ppc3_t4_r1,1,1.0,1.2026926279067993,1.096673408959098
falling-block-water_apic_ppc3_t4_r1,2,2.0,4.872262001037598,2.207320017060246
falling-block-water_apic_ppc3_t4_r1,3,3.0,10.94528865814209,3.308366377222677
falling-block-water_apic_ppc3_t4_r1,4,4.0,19.489042282104492,4.414639619351732
falling-block-water_apic_ppc3_t4_r1,5,5.0,30.451642990112305,5.5183005196346455
falling-block-water_apic_ppc3_t4_r1,6,6.0,43.815731048583984,6.6193449478828725
falling-block-water_apic_ppc3_t4_r1,7,7.0,44.58332443237305,6.677074598603231
falling-block-water_apic_ppc3_t4_r1,8,8.0,36.67446517944336,6.055944627556568
falling-block-water_apic_ppc3_t4_r1,9,9.0,28.873538970947266,5.373410239099212
falling-block-water_apic_ppc3_t4_r1,10,10.0,17.77306365966797,4.215811187048556
falling-block-water_apic_ppc3_t4_r1,11,11.0,12.390223503112793,3.519974913074222
falling-block-water_apic_ppc3_t4_r1,12,12.0,14.769246101379395,3.843077621577367
falling-block-water_apic_ppc3_t4_r1,13,13.0,23.308408737182617,4.827878229939628
falling-block-water_apic_ppc3_t4_r1,14,14.0,33.5545768737793,5.792631111620392
falling-block-water_apic_ppc3_t4_r1,15,15.0,30.07758903503418,5.484303774466272
falling-block-water_apic_ppc3_t4_r1,16,16.0,23.63846778869629,4.861940641027511
falling-block-water_apic_ppc3_t4_r1,17,17.0,26.225692749023438,5.12110251000395
falling-block-water_apic_ppc3_t4_r1,18,18.0,24.53434181213379,4.953215200282792
falling-block-water_apic_ppc3_t4_r1,19,19.0,26.66277503967285,5.163600820890399
falling-block-water_apic_ppc3_t4_r1,20,20.0,26.575925827026367,5.155184075429558
falling-block-water_apic_ppc3_t4_r1,21,21.0,24.411455154418945,4.940794984425583
falling-block-water_apic_ppc3_t4_r1,22,22.0,19.576627731323242,4.42454810987094
falling-block-water_apic_ppc3_t4_r1,23,23.0,17.47703742980957,4.180554524559212
falling-block-water_apic_ppc3_t4_r1,24,24.0,16.623136520385742,4.077147871444572
falling-block-water_apic_ppc3_t4_r1,25,25.0,14.841601371765137,3.8524799236985
falling-block-water_apic_ppc3_t4_r1,26,26.0,12.190226554870605,3.4914503906081964
falling-block-water_apic_ppc3_t4_r1,27,27.0,10.8909912109375,3.3001501800580986
falling-block-water_apic_ppc3_t4_r1,28,28.0,11.373930931091309,3.372525858175516
falling-block-water_apic_ppc3_t4_r1,29,29.0,10.410239219665527,3.226490238294934
falling-block-water_apic_ppc3_t4_r1,30,30.0,9.260294914245605,3.0430732491684602
falling-block-water_apic_ppc3_t4_r1,31,31.0,9.69919490814209,3.1143529562234114
falling-block-water_apic_ppc3_t4_r1,32,32.0,9.703089714050293,3.114978168343691
falling-block-water_apic_ppc3_t4_r1,33,33.0,8.532103538513184,2.920976319851432
falling-block-water_apic_ppc3_t4_r1,34,34.0,6.487526893615723,2.54706227743202
falling-block-water_apic_ppc3_t4_r1,35,35.0,5.501816749572754,2.3455951070570555
falling-block-water_apic_ppc3_t4_r1,36,36.0,5.044923305511475,2.246090557062948
falling-block-water_apic_ppc3_t4_r1,37,37.0,5.011448383331299,2.2386264458944045
falling-block-water_apic_ppc3_t4_r1,38,38.0,5.418437480926514,2.327753745566743
falling-block-water_apic_ppc3_t4_r1,39,39.0,5.829104423522949,2.414353744567322
falling-block-water_apic_ppc3_t4_r1,40,40.0,5.190494060516357,2.2782655188572867
